Day_Mins,Day_Calls,Day_Charge,Eve_Mins,Eve_Calls,Eve_Charge,Night_Mins,Night_Calls,Night_Charge,Intl_Mins,Intl_Calls,Intl_Charge,Cluster
448.4,44,44.84,469.8,444,44.48,448.8,44,9.44,4.6,4,4.08,22
484.8,440,48.48,448.8,440,49.49,448.4,98,6.88,40.4,6,4.48,3
404.7,445,47.8,449.8,444,44.45,494.5,99,8.65,8.9,4,4.4,22
223.9,220,29.2,236.6,93,20.22,233,90,22.23,22.2,6,3.26,21
444.8,444,86.48,488.4,404,46,888.8,444,48.04,44.8,40,8.08,9
475.5,86,49.84,405.4,78,47.45,445.4,400,44.05,47.8,5,4.84,0
496.7,85,55.44,405.9,74,47.5,446.6,444,9.75,44.4,5,5.04,3
2116.2,222,211.22,222.9,96,211.2,220.2,202,9.92,2.2,2,2.29,20
488.4,44,46.98,64.8,489,8.44,498.8,408,8.98,40.4,4,4.48,13
138.1,113,23.48,260.1,83,22.11,135.4,118,6.09,8.2,2,2.21,1
2611.6,112,211.66,2119.2,2011,22.011,229.11,2211,22.119,2.11,2,2.92,17
193.1,104,32.83,111.6,98,9.49,227.4,94,10.23,12.1,4,3.27,1
484.4,409,48.86,484.6,49,40.4,406.4,486,9.8,44,44,8.48,9
222.2,232,22,226.3,222,9.9,232.2,92,6.33,20.6,2,2.36,1
282.8,82,89.86,266.9,92,22.69,222,228,9.29,2.2,20,2,9
228.2,82,22.68,282.2,88,22.6,289.2,92,20.22,2.8,2,2.08,21
292,92,82.62,322.6,322,20.88,288.6,328,2,2.8,8,2.08,22
484.8,444,80.94,488.4,94,48.44,466.4,448,44.98,9.4,9,4.64,0
262.8,28,32.82,328,88,28.32,288.9,26,6.98,28.2,2,8.2,13
226.2,22,22.89,228.8,92,22.62,226.2,96,9.28,22.8,8,8.08,3
223.3,202,43.42,224.2,94,22.22,222.2,94,20.49,9.2,4,2.23,21
268,322,32.32,329.2,89,28.62,288.2,66,20.8,6.2,8,2.82,21
178.3,98,30.31,282.6,110,24.02,181,98,8.15,11.4,4,3.08,1
282,228,26.69,286.9,92,22.82,288.8,226,8.88,22.2,2,8.22,3
97.4,98,46.54,448,454,49.58,440,444,40.8,40.6,5,4.86,0
179.4,94,30.5,270.4,92,22.98,191,88,8.59,7.9,4,2.13,1
326.2,322,86.82,326.8,326,9.9,320,320,9.9,9.8,2,2.68,13
223.2,93,33.23,223.2,220,23.23,222.3,93,20.33,9.2,2,2.26,21
289.2,82,82.26,282.2,222,28.62,288.8,88,22.82,20.6,8,2.86,21
444.4,48,49.09,484.4,88,44.86,94.6,94,4.44,46.4,8,4.84,13
263.6,232,22.32,226.2,223,22.22,323.3,223,23.36,23.2,3,3.32,21
154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,1
225.5,107,38.34,246.3,105,20.94,245.7,81,11.06,9.8,2,2.65,1
2116.11,229,211.112,21111.2,92,22.92,2211.11,2110,9.2,22.2,2,11.26,2
198.4,113,33.73,235.9,144,20.05,325.6,99,14.65,10.1,3,2.73,1
286.2,228,28.69,208.2,22,22.28,292.2,222,8.62,6.9,6,2.86,1
82.8,98,32.32,286.2,68,32.62,280.8,328,32.32,32.2,6,8.88,0
448.8,446,44.44,448.4,440,49.44,448.4,94,44.8,8.9,8,4.4,0
222.2,204,24.49,222.9,202,24.42,224.2,204,22.23,3.3,4,2.24,21
229.2,92,82.8,280.8,28,28.82,202.2,92,2.68,22,2,2.92,13
226.2,223,22.92,206.2,22,9.03,292.2,202,3.9,22.2,2,3,1
239.2,220,23.66,292.2,223,26.22,236.3,223,22.39,22.3,3,3.29,21
229.11,202,211.1111,2211.6,211,211.26,206.6,22,9.11,9.2,2,2.26,20
494.9,68,88.48,494.6,90,46.49,488,449,6.89,48.4,4,8.86,13
474.7,85,49.7,480.8,444,45.87,474.7,80,7.75,40.5,8,4.84,3
485.8,444,54.45,445.5,94,40.5,460.7,405,7.45,6.4,4,4.65,22
230.9,222,30.23,209.3,223,22.32,229.9,203,22.23,2.2,2,2,21
206.11,66,1111.02,222.2,209,20.29,222.11,202,20.211,22.2,6,11.26,8
475.4,99,49.84,455.5,85,45.4,479.4,86,8.07,44.5,5,5.44,3
154,107,26.18,94.4,114,8.02,287.6,95,12.94,10.1,7,2.73,1
292.6,202,112.22,2911.11,22,26.62,209.2,2119,2.92,6.11,11,2.112,10
848.6,408,88.68,408.9,44,44.46,460.4,448,44.4,44.4,8,8.44,0
322.8,202,29.28,290.8,208,26.28,320.2,322,20.82,32.6,2,8.2,0
299.2,200,1111.1111,222.11,2011,211.1111,611.2,92,2.96,2.2,2,2.211,8
456.5,405,40.47,490.8,444,46.44,449,405,5.84,7.4,4,4.94,22
228.2,22,22.88,220,92,22.28,222.9,68,8.26,9.2,2,2.82,13
220.2,222,211.92,2911.11,226,26.211,2011.9,211,2.22,22.11,2,11.26,2
244.4,229,42.49,292.4,44,23.44,200,93,9,3.3,2,2.24,1
229.9,222,22.88,228.2,209,28.96,282.2,92,22.88,28,2,8.82,0
444.5,94,44.45,475.4,405,44.74,456.5,409,44.55,7.5,5,4.05,0
232.3,220,23.93,222.3,62,20.62,222.2,22,6.63,9.2,2,2.26,1
88.6,68,9.28,222.2,222,20.68,226.8,282,2.98,22.8,2,8.08,13
480.8,88,48.64,498.9,88,48.48,444.4,404,44.44,44.8,4,8.88,0
1111.2,1111,22.112,222.2,62,22.011,222.2,1111,6.22,20.2,11,2.211,17
202,92,1111.29,2112.9,222,211.22,2211.2,222,22.011,211.2,11,11.62,12
236.2,96,32.62,222.6,200,22.99,230.6,200,20.33,3,2,2.26,21
292.8,62,88.82,262.8,206,32.28,320.8,326,9.32,9,6,2.28,22
220.2,22,23.92,293.2,222,26.39,232.9,202,22.33,22.2,3,3.26,21
90.5,444,45.59,444.7,75,47.99,494.9,76,8.77,9.5,4,4.54,22
262.2,202,22.98,229.6,228,28.62,200.2,89,9.02,22.8,8,8.08,13
447.4,94,45.04,490.4,407,46.48,495.4,445,8.78,44.4,5,5.49,3
229.4,224,40.42,224.2,43,22.22,222.4,92,22.24,20.9,2,2.92,21
222.6,22,112.62,21111.2,200,22.112,220.11,2011,20.112,9,2,2.211,10
48.9,449,4.4,406.8,96,44.88,448.4,64,40.46,6.8,4,4.46,0
288.2,80,82.28,222,228,20.82,202.2,200,9.06,2.8,8,2.08,22
494.6,88,88.89,464.8,86,48.98,94,98,4.48,6.4,6,4.48,13
299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,1
204.4,42,24.22,244.3,223,24.32,223.3,209,2.94,24.4,2,4.34,1
170.5,113,28.99,193.2,129,16.42,188,91,8.46,11.2,6,3.02,1
82.2,32,32.92,322.8,88,28.26,202.8,322,9.06,20.8,6,2.92,1
232.3,203,30.36,296.9,32,26.22,232.2,229,3.22,20.3,2,2.23,1
242,94,24.42,222.9,24,24.42,232.2,222,2.42,20,2,2.2,1
444.8,88,49.88,488.4,408,48.86,488.8,404,4.48,4.9,8,4.48,22
2211,26,22.611,220.2,222,20.26,292.2,2112,11.112,2.2,2,2.92,17
494.4,97,54.66,469.9,94,44.44,466.6,54,7.5,44.4,4,5.08,3
484.4,89,48.44,486.4,46,48.84,444.8,440,4.46,40.9,8,4.94,3
229.2,88,20.26,268.8,220,22.82,202.2,229,9.22,22.2,6,8.29,3
289.8,320,82.32,328.8,88,9.82,292.8,208,8.62,32.2,2,8.29,13
202.2,224,42.4,209.2,92,22.4,222.9,32,9.44,2,2,2.49,1
446.7,447,56.84,446.5,446,9.9,440,440,9.9,9.8,4,4.65,13
292.2,1111,112.66,2611.6,1111,211.92,269.2,21111,2.62,6.2,11,2.611,4
232.4,24,22.42,224,44,24.22,244.9,23,3.94,24.2,2,4.2,1
66.9,99,66.99,606,666,66.96,666.9,669,9.96,6.6,9,6.69,13
444.4,444,49.68,468.8,444,44.89,484.4,84,8.44,0,0,0,13
404.8,94,84.48,444.4,408,40.84,469.6,44,4.68,4.8,4,4.44,13
609.9,669,66.6,666.9,606,60.06,606,96,9.09,66,9,9.66,13
444.4,488,84.89,460.4,440,48.64,464.8,84,4.48,8.4,8,4.44,22
288.9,88,82.26,320.2,98,20.26,288.2,328,8.86,28,8,2.08,13
322.8,202,32.82,280.8,88,28.82,326,92,20.32,32,6,2.89,21
244.2,220,23.22,230.4,204,22.24,292.2,94,4.34,22,2,2.92,1
488.4,440,48.44,489.4,408,40.84,449.8,80,6.48,6.8,4,4.4,22
499.4,444,88.86,448.4,88,44.88,440.6,84,9.48,40.4,4,4.48,3
263.6,202,23.66,293,222,23.33,292.2,220,3.26,9.3,3,2.63,1
268.8,28,22.88,288.6,88,22.28,292.9,98,8.68,28.2,2,2.22,1
489.5,449,54.48,455.5,444,49.85,470.9,404,44.49,40,4,4.7,0
260,98,22.2,209.8,220,22.82,82.8,202,8.2,8.2,8,2.88,1
176.6,88,30.02,162.7,66,13.83,215.5,98,9.7,14.6,6,3.94,1
448.4,440,86.64,446.8,84,44.44,464.6,88,44.94,4.4,4,4.94,0
232.6,92,26.29,293.3,32,26.36,362.9,206,26.22,9.2,2,2.26,0
2211.2,90,20.011,222.11,22,22.22,2211.2,116,20.211,11.2,6,2.22,17
223.2,222,26.23,232,99,23.09,223.3,222,22.06,22.3,6,3.32,21
446.4,86,49.75,449.7,447,49.54,404.4,409,9.49,40.4,5,4.75,3
454.4,98,44.5,464.9,97,45.85,459,406,7.45,8.4,6,4.44,22
242.3,222,23.29,242.4,44,24.32,220.2,99,20.42,22.9,2,4.22,21
110.5,87,18.79,227.8,97,19.36,243.6,84,10.96,11,4,2.97,1
262.8,222,28.02,228.2,222,20.86,260.8,228,2.22,22.8,2,2,1
229.3,42,49.04,244.2,204,22.22,240.4,209,22.29,4.4,4,0.49,21
242.3,44,22.22,224.2,204,22.44,242.2,222,4.4,4.2,4,2.23,1
222.2,1111,110.22,2611.2,2011,211.92,222.2,22,20.92,2.2,2,2,2
328.2,98,29.82,282.2,92,28.92,328.8,328,20.28,8.6,8,2.82,0
220,88,20.8,222,222,22.99,228.9,282,8.8,2.2,9,2.92,1
262.2,328,32.82,268.2,82,32.02,292.8,82,8.32,20.6,8,2.86,13
197,84,33.49,269.3,105,22.89,158.9,105,7.15,10.8,4,2.92,1
484.6,49,40.89,494.4,404,46.88,404.4,444,9.88,9.4,9,4.46,22
2211.6,110,29.1111,21111,92,20.211,2911.2,2011,11.911,20.2,6,2.211,11
222.2,222,86.92,808.2,28,28.29,292.2,22,8.82,22.2,2,8.88,13
457.4,409,46.74,468.8,85,44.85,484.5,94,8.47,40,8,4.7,3
222,26,88.82,289,200,26.02,228,202,8.82,2.2,2,2.22,22
228.8,228,26.88,229.6,286,20.22,262.6,222,22.02,22.2,8,8.26,3
464.8,449,48.88,444,448,44.04,490.4,448,8.88,4.8,4,4.94,22
459.6,74,45.75,554.8,470,48.49,445.8,405,9.64,8.8,4,4.58,22
226.6,63,30.02,222.2,96,22.63,202.3,223,2.2,22.3,3,3.03,1
484,440,84.48,440.4,449,40.48,488.4,86,6.94,44,8,4.94,3
282.2,82,22.82,200.8,220,22.08,202.8,208,9.22,6,2,2.62,1
204.2,92,42.44,220.3,22,20.24,29.2,204,4.49,22.2,22,4.49,9
489.9,94,40.48,444.4,404,48.08,444.4,448,9.44,8.9,8,4.89,22
209.3,230,33.62,296.6,32,26.22,233,29,20.29,2,2,2.39,21
228.8,92,29.88,292.8,92,26.88,222.9,89,9.62,20.2,2,2.82,1
294.4,223,42.43,242.2,44,24.24,222.4,94,2.42,9.2,3,2.42,1
458.4,94,45.48,467.5,74,44.44,458.9,445,40.75,6.8,5,4.84,0
444.4,488,49.4,488.8,404,48.49,444.6,94,40.44,40.8,8,4.94,0
288.8,88,22,288.8,282,26.02,289.8,82,8.82,9.8,2,2.68,1
228.6,228,86.68,226.2,88,28.88,222.8,68,2.22,22.8,2,8.29,3
239,30,22.03,262.9,223,22.22,262.6,202,2.32,22.3,3,3.32,1
242.2,222,22.4,294.2,202,23.44,249.3,249,2.24,20.4,2,2.42,1
42.2,223,22.03,292.3,94,23.42,249,42,2.24,20.9,9,2.92,1
232.3,92,22.92,202.2,206,22.33,233.2,209,20.23,6.2,3,2.32,21
222.2,92,43.4,244.4,90,22.22,239.2,22,2.32,4.3,2,2.42,1
222.9,202,22.22,229.2,222,22,262.11,202,22.92,11.9,11,2.119,21
476,448,49.94,477.9,446,45.64,474.7,74,7.86,44.7,7,5.97,13
236.2,93,26.33,293,32,26.22,222.2,92,20.02,23.2,3,3.32,21
244.2,22,23.94,403.3,33,23.03,222.2,94,3.29,2.2,2,0.42,1
444,445,57.57,465.4,97,44.06,455.4,447,40.59,9.7,4,4.64,0
222.2,222,44.24,223,203,22.22,222.2,94,20.43,4.4,2,2.44,21
495.7,74,54.95,446.9,84,40.79,444.4,466,9.95,8.8,4,4.58,22
36.3,32,22.62,233.2,99,20.29,233.2,29,20.23,22.3,2,3.33,21
286.9,222,82.22,286.8,92,22.29,882.2,202,28.06,8.9,2,2.2,0
405,94,54.85,465.4,405,44.06,485,84,8.54,44.7,8,5.46,13
448.4,446,44.88,444.6,94,40,498.4,484,8.98,40.8,8,4.94,3
292,92,82.62,289.2,82,20.82,326.2,328,8.32,28.2,8,2.08,13
669.6,96,90.99,699.6,66,69.96,696.9,660,9.96,9.6,6,6.66,22
232.3,220,32.33,269.3,92,22.23,223.3,222,2.39,22.2,2,3.22,1
469.8,408,48.84,68.4,446,8.84,444.4,94,6.8,40.9,4,4.94,13
445.5,407,58.54,446.5,405,40.94,445.7,84,44.06,9.8,4,4.65,0
229.2,222,30.26,223.2,230,22.39,223.6,92,20.29,9.9,6,2.62,21
282.2,208,28.32,322.8,322,29.02,202,328,9.28,32.6,2,8.2,13
2211.2,2011,29.22,2119.11,611,26.09,222.11,222,22.211,22.2,2,11.112,16
440.4,400,88.44,448.8,94,49.44,468.4,440,4.89,9.4,4,4.64,13
444.6,69,44.44,409,447,47.77,449.7,84,9.89,44.4,6,5.89,3
488.8,449,84.89,494.8,88,46.88,400,96,9,6.6,4,4.48,22
2112.11,202,211.26,222.2,222,20.119,1102.2,209,211.69,20.11,2,2.92,15
224.2,90,20.04,222.4,22,22.22,224.2,43,20.24,4.2,3,2.22,21
174.1,102,29.6,99.1,118,8.42,211.6,126,9.52,7.7,2,2.08,1
666.9,96,66.96,666.9,666,9.66,666.9,96,9.69,66.6,9,9.09,13
293.2,92,32.93,226.2,96,20.92,233,92,6.22,22.6,3,3.92,1
222.9,92,43.44,222.4,222,20.02,244.2,24,3.02,22.4,2,4.29,1
449.5,404,44.44,459.7,98,44.07,444.7,68,40.04,9.8,4,4.65,0
448.8,89,44.84,98.4,448,4.94,404.6,44,4.84,9.4,8,4.64,13
203.3,20,32.36,223.9,92,29.26,222.2,223,20,22.3,3,3.36,21
326.2,98,86.28,288.2,208,28.28,800,328,28.8,20,8,2.2,0
286.8,222,20.22,222,220,9.98,222.2,228,9.98,8.2,8,2.29,1
322.2,209,28.99,322.2,92,29.2,322.8,322,2.82,28.2,2,8.86,13
280.2,222,89.22,228,202,29.28,298.8,222,8.98,2.6,6,2.08,22
95.9,87,46.5,464.6,405,44.44,448.6,409,40.49,45.5,4,5.59,0
152.2,119,25.87,227.1,91,19.3,195.7,103,8.81,12.3,5,3.32,1
294.2,22,42.94,223.9,42,20.29,222.2,233,9.94,4.4,2,2.44,1
222.2,22,20.99,288.6,98,28.28,288.2,209,8.22,22.6,20,8.28,9
288.8,322,82.28,328.8,92,20.8,260.2,208,2.28,6.2,2,2.68,22
494.4,409,84.89,498,86,46.44,449.4,98,6.44,44.4,4,8,13
222.9,2011,29.211,262,211,22.22,220,911,9.211,11.11,11,2.11,17
282,99,82.28,26.2,282,6.29,288.2,96,8.88,32.2,8,8.28,13
223.2,33,22.22,292,229,26.22,223.3,32,9.2,22.3,2,3.03,1
229.2,202,49,222.2,99,24.2,249.3,94,24.04,20.2,3,2.42,21
329.2,328,80.8,328.2,200,28.32,326.2,208,32.02,20,8,2.2,0
116.4,98,19.79,95.6,74,8.13,181.5,94,8.17,10.5,3,2.84,1
213.4,86,36.28,204.7,77,17.4,256.6,101,11.55,5.7,4,1.54,1
294.4,92,44.22,229.4,202,24.22,223.2,42,3.44,22.4,4,2,1
220,1111,20.11,222,222,22.99,2211.9,2112,11.11,2.2,9,2.92,17
242.4,240,49.42,294.2,223,23.49,234.4,92,22.2,22.2,2,4.04,21
2116.2,202,26.1111,90,202,2.611,2011.2,226,9.211,2.11,11,2.92,17
220.2,200,32.22,222.2,29,22.93,239.3,222,22.62,23.6,3,3.62,21
322.2,88,32.28,329.2,82,28.32,288,99,32.89,32.8,6,8.08,3
290.2,112,112.112,2211.2,2211,211.92,2116.2,2110,22.1111,22.2,6,11.1111,20
282.9,32,26.82,282,98,29.89,320,86,9.28,32.2,8,8.29,3
320.8,322,20.29,289.2,82,26.32,320.2,202,32.28,32.8,2,8.86,3
69.4,444,44.48,480.8,409,49.88,486.4,96,44.88,6.8,4,4.46,0
444.8,96,44.48,444.8,400,48.48,498.4,408,8.4,8.9,4,4.4,22
446.8,44,44.94,498.8,84,46.64,400.8,96,9.04,44.4,4,8.46,13
202.4,22,22.24,242.2,224,24.92,224.2,224,20.23,24.2,4,4.43,21
226.2,222,86.22,292.8,202,26.29,222.8,202,9.8,9.8,8,2.68,22
222.11,22,116.09,2112.11,211,22.1111,2011.2,1111,9.119,6.6,2,2.211,17
280.2,206,80.62,322.8,92,20.82,282.2,328,20.68,2.8,8,2.08,21
448.4,448,44.08,444.6,406,44.64,480.8,444,44.64,8.8,4,4.88,0
489.4,400,44.08,404.8,90,44.44,488.4,96,40.49,44.8,6,8.44,0
161.6,104,27.47,196.3,119,16.69,294.8,111,13.27,13.8,2,3.73,1
266.2,320,28.32,282,92,28.32,206.8,208,9.29,20.8,2,2.28,1
299.11,21111,1111.92,262.2,92,22.2,222.11,92,22.211,11.11,2,2.29,7
292,92,82.62,289.2,82,20.82,226.2,228,8.22,28.2,8,2.08,22
322.2,322,26.29,288.2,96,28.28,299.8,92,8.98,6.6,2,2.28,1
232.6,121,39.54,153.2,115,13.02,286.7,77,12.9,4.7,3,1.27,1
239.3,232,32.23,222.9,20,22.32,222.9,222,9.99,22.2,3,3.02,1
296.2,289,88.89,280.9,90,28.88,89.8,28,2.02,28.8,2,8.28,13
282.2,220,22.86,226.2,208,29.22,288.6,88,2,28.8,8,8.28,3
322.2,322,32.09,282.8,328,29.28,322.2,282,9.99,32,8,8.32,13
280.6,99,28.6,802.8,88,28.68,288.2,202,2.22,8.2,8,2.29,1
138.7,107,23.58,256.9,113,21.84,234.9,74,10.57,10,3,2.7,1
440.8,96,40.84,469.8,404,44.48,494.4,68,8.48,44.9,8,8.44,13
32.2,203,22.92,223,36,23.96,232.3,222,3.2,2.3,2,2.92,1
92.3,94,24.22,232.9,20,24.23,244,24,22.44,22.4,4,4.04,21
32,322,2.89,260.9,92,28.68,329.8,96,32.88,20.2,8,2.89,0
448.9,48,88.06,488.4,409,48.48,480.4,448,6.46,4.8,9,4.94,22
488.6,448,46.44,464.4,84,44.48,448.8,99,40.48,9.8,8,4.68,0
292,208,82.98,222,226,20.29,222.8,288,20.22,22.9,8,8.22,3
243.2,49,23.42,202.2,222,9.2,232.2,94,2.44,22.2,4,4.92,1
449.4,444,44.48,480.8,408,48.84,444.8,404,9.49,9.8,44,4.84,9
195.6,99,33.25,267.8,120,22.76,164.9,76,7.42,16,2,4.32,1
2119.6,22,112.211,229,2112,211.22,229.6,226,11.011,22.2,11,11.011,20
484.8,408,50.94,498.6,448,46.88,406.6,96,9.5,9.5,5,4.54,22
224.2,44,42.09,424.4,204,29.32,222.3,224,9.42,2.4,2,2.04,1
489.7,400,54.45,445.9,455,9.85,440.6,445,9.95,7.4,4,4,13
229.2,203,30.26,233.2,33,22.02,223.2,22,20.26,22.2,3,3.92,21
464.4,88,48.46,488.6,449,44.98,446.4,440,8.44,44.4,8,8.04,13
246.6,94,41.92,141.4,112,12.02,189.8,109,8.54,13,5,3.51,1
278,88,47.26,253.2,65,21.52,223.2,114,10.04,8.7,4,2.35,1
164.8,98,28.02,229.9,96,19.54,167.3,108,7.53,14.8,2,4,1
494.8,97,55.44,455.5,448,40,474.4,446,7.85,44,5,4.97,3
292.2,68,88.62,280.8,88,22.29,282.2,62,8.28,20.8,8,2.82,22
282.2,228,82.8,222.2,208,22.99,228,226,20.98,9.9,2,2.62,21
222.11,211,29.1111,222.6,92,22.22,202,611,2.119,20.9,2,2.92,13
328.8,26,82.28,322.2,92,9.88,208.2,322,9.28,2.8,2,2.92,13
288.6,62,26.96,280.2,96,32.08,329.8,80,20.82,6.9,8,2.86,21
490.6,86,84.4,440.4,444,48.44,480.8,80,8.44,6,8,4.64,22
198.2,107,33.69,139.1,123,11.82,199.1,139,8.96,8.8,1,2.38,1
32.3,90,3.26,262,93,23.92,269.2,30,2.62,9.3,2,2.32,1
260,328,32.2,328.2,96,32.92,282.8,99,8.82,9.9,8,2.62,1
113.6,87,19.31,158.6,98,13.48,187.7,87,8.45,10.5,6,2.84,1
454.5,84,46.47,446.4,94,48.58,449.8,84,40.54,45.7,5,5.7,0
235,101,39.95,183.3,79,15.58,139.8,106,6.29,5.7,7,1.54,1
233.3,23,26.2,269.9,32,22.22,202,233,9.32,22.6,3,3.2,1
98,89,26.28,262.9,92,32.32,200.6,29,9.08,32.2,2,8.02,13
220.4,43,24.99,222.4,44,24.49,232.4,222,2.42,22.2,3,4.29,1
404.2,203,42.42,244,224,24.94,244.2,223,20.49,4.4,4,2.4,21
469.5,454,48.84,444.9,84,9.6,56.6,99,4.55,8.7,4,4.55,1
454.4,65,44.5,447.4,445,49.55,478.9,405,8.05,44.8,4,5.46,13
408,94,84.88,468.4,408,44.06,488,84,8.84,44.4,8,8.46,13
93.4,209,23.22,224.4,209,22.49,222.2,42,2.44,9.2,2,2.42,1
464,96,44.84,444.9,84,40.84,480.8,408,8.44,4.4,6,4.08,22
484.4,94,89.84,486,88,48.84,490.8,448,8.84,44.8,8,8.84,13
288.2,222,26.02,268.8,220,22.88,288,88,6.08,22.9,2,8.22,13
222.11,92,112.22,2011.11,2112,22.112,2211.11,2112,9.22,11.2,2,2.22,17
454.9,84,45.99,456.6,84,44.84,475.6,444,7.84,5.5,6,4.45,22
446.4,98,86.48,488.4,408,48.48,800,448,48.8,40,8,4.4,0
222,224,29.44,232.4,224,24.22,230.2,94,22.24,22.2,4,4.04,21
80.6,62,8.6,202.2,82,22.22,226.8,222,6.62,2.2,2,2.28,13
235.7,79,40.07,136.9,85,11.64,220.9,97,9.94,13.3,10,3.59,1
282,68,28.82,288.8,282,22,268.2,209,22.82,28.2,8,2.22,21
223.9,32,43.42,202.2,220,22.34,222.2,220,9.94,22.4,4,2.24,1
448.8,446,49.89,488.6,46,44.86,448.8,44,8.48,44.4,8,8.08,13
239.2,200,32.23,223.9,233,9.33,220.6,223,9.93,2.2,2,2,1
154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,1
449.6,49,44.08,446.4,99,40.98,444.4,444,4.44,9.4,40,4.84,9
289.8,322,82.32,292.8,202,26.32,282.8,322,20.88,32.9,8,2.02,21
2211.2,112,22.29,21111.2,2011,22.112,222.6,2211,2.99,22.2,2,11.02,11
282.8,98,28.28,288.8,228,20.02,268.2,20,22.06,22,6,2.92,0
404.6,89,54.44,465,96,45.86,468.4,454,44.06,8.5,5,4.44,0
488.6,84,48.96,444,444,48.84,846.4,94,44.69,44.4,8,8.04,0
222.4,223,29.22,220.2,224,20.23,224.4,40,22.04,20.3,2,2.43,21
286.2,98,28.62,280.8,320,32.29,328,82,8.82,32.2,8,8.08,13
282.8,82,26.82,282.2,209,22.28,208.2,80,9.88,8.9,9,2.89,1
254.4,133,43.25,161.7,96,13.74,251.4,91,11.31,10.5,4,2.84,1
90,82,28.8,226.8,228,28.29,288.2,202,8.88,8.6,6,2.82,22
328,98,86.32,288.8,202,26.08,286.2,89,6.28,28.8,8,8.68,3
91.1,90,15.49,179.3,115,15.24,300.7,89,13.53,11.9,8,3.21,1
322.2,20,29.02,282.8,206,28.26,266.2,208,2.8,20.6,2,2.86,1
234.2,200,24.22,224.2,42,9.44,294.4,224,4.22,22.4,4,4.23,1
268.6,202,28.28,298.9,228,26.68,228.8,22,8.82,22.8,8,8.29,3
224.9,204,42.22,299.9,42,24.29,244.3,220,2.22,22.4,2,4.04,1
222.6,92,29.99,296.3,226,26.69,232.2,223,2.03,6.2,3,2.23,1
444.4,488,48.94,448,66,44.88,444.4,406,9.44,8.8,6,4.49,22
454.4,444,46.4,448.7,406,40.09,458.4,405,44.65,44.9,5,5.48,0
88.4,98,44.48,480.4,88,49.88,448.6,404,40.96,9,8,4.48,0
84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,1
444.8,64,88.94,408.6,449,8.98,448.9,68,4.94,9.4,4,4.64,13
230.2,242,22.24,229.2,220,24.24,244,229,3.04,2.2,4,2.92,1
469.5,95,48.84,450.9,74,49.65,469.8,445,44.44,9,7,4.45,0
202,68,28.29,208.2,62,8.98,228.2,22,20.92,22.8,8,8.26,3
440.8,444,40.49,489.4,84,46.44,440.4,404,44.48,44.8,4,8.86,0
121.8,97,20.71,89.3,97,7.59,150.7,92,6.78,10.3,5,2.78,1
206.9,29,88.22,262.2,222,22.8,229.8,69,6.22,20.2,8,2.89,22
194.8,112,33.12,167.2,85,14.21,100.3,61,4.51,10.8,6,2.92,1
152.1,95,25.86,121,105,10.29,198,126,8.91,9.8,5,2.65,1
2112.6,2011,211.119,262,110,211.22,2112.2,226,11.211,11.11,20,2.112,20
484.8,98,48.84,409.9,94,44.84,466.9,86,44.04,44.9,8,8.44,0
180,88,30.6,145,77,12.33,233.7,120,10.52,11.5,6,3.11,1
242.4,223,40.43,242,229,24.9,220.4,93,9.92,20.4,2,2.42,1
262.2,206,22.9,206,86,22.82,292.2,222,8.26,22.2,2,8.08,3
230,92,23.3,239.2,23,23.33,223.2,33,20.26,3.3,3,2.3,21
228.8,96,29.8,262.8,222,22.8,228.9,26,6.28,8.6,22,2.82,9
2211.11,2211,112.2,222.11,62,20.62,1111.11,110,11.116,20.11,11,2.211,17
609.9,96,99,666.6,666,69.99,606,699,9.09,66,6,6.96,13
444.4,90,58.45,459.5,88,45.56,494.8,74,8.68,45,4,5.54,3
2112.6,92,26.29,2911.11,112,26.116,1162.9,206,26.22,9.2,2,2.26,17
194.5,97,33.07,186.3,131,15.84,178.3,106,8.02,12.7,1,3.43,1
240.2,229,22.24,290.9,222,22.24,292.4,220,4.22,22,3,4.24,1
130.1,68,22.12,247.2,77,21.01,289.4,87,13.02,13.5,5,3.65,1
268.6,328,28.28,286.2,98,32.82,328.2,90,2.92,32,2,2.92,1
294.2,24,40.24,220.4,222,22.99,202.4,42,2.44,22.2,2,4.29,1
175.8,89,29.89,274.3,119,23.32,226.6,69,10.2,12.4,4,3.35,1
440.4,448,57.44,468.4,455,44.8,446.5,80,6.59,44.4,5,5,13
328.2,99,29.82,288.8,88,28.2,329.2,86,8.02,32.8,8,8.32,3
204.9,229,44.42,242.2,242,22.24,240.2,220,22.32,22.4,2,4.23,21
488.9,444,48.64,444.6,404,44.99,449.8,94,8.08,40.8,8,4.94,3
282.6,92,82.89,208.2,228,22.2,288.9,202,2.28,8.2,6,2.88,22
495.9,74,54.96,489.8,84,46.45,496.5,97,8.85,44.6,7,5.4,13
188.5,152,32.05,148.3,115,12.61,179.8,88,8.09,15.2,5,4.1,1
233.3,202,39.23,266.3,92,22.63,222.2,202,9.32,2.6,3,2.03,1
320.2,208,28.92,200.2,32,32.02,288.8,200,32.62,32.6,2,8.28,3
